Ground Speed,Steering Angle,Throttle Pos,Brake Pos,CG Accel Lateral,CG Accel Longitudinal,total_g,throttle_jerk,brake_jerk,steer_speed,avg_slip_rear,avg_slip_front,target_score
8.34,187.5,15.47,0.0,-0.048,0.045,0.06579513659838392,0.0,0.0,32.0,0.11000000000000001,0.315,69.3050193050193
8.45,185.1,15.47,0.0,-0.042,0.048,0.0637808748764079,15.900000000000063,0.0,46.00000000000023,0.11,0.33,67.94961794961795
8.53,182.9,17.06,0.0,-0.043,0.048,0.06444377394287208,27.800000000000068,0.0,55.99999999999977,0.115,0.335,66.59421659421659
8.64,179.5,18.25,0.0,-0.042,0.051,0.06606814663663572,15.900000000000006,0.0,50.99999999999977,0.11000000000000001,0.325,65.23881523881523
8.72,177.8,18.65,0.0,-0.043,0.052,0.06747592163134936,4.0,0.0,39.0,0.115,0.31,63.88341388341388
8.84,175.6,18.65,0.0,-0.046,0.052,0.06942621983083912,0.0,0.0,42.00000000000023,0.115,0.30000000000000004,63.63636363636363
8.94,173.6,18.65,0.0,-0.045,0.053,0.06952697318307478,15.90000000000012,0.0,40.00000000000023,0.11499999999999999,0.29000000000000004,63.63636363636363
9.02,171.6,17.06,0.0,-0.045,0.053,0.06952697318307478,23.80000000000004,0.0,43.99999999999977,0.115,0.28500000000000003,63.63636363636363
9.15,169.2,16.27,0.0,-0.049,0.05,0.07000714249274856,11.899999999999977,0.0,37.99999999999977,0.115,0.265,63.63636363636363
9.22,167.8,15.87,0.0,-0.049,0.05,0.07000714249274856,4.0,0.0,36.99999999999977,0.11,0.255,63.63636363636363
9.34,165.5,15.87,0.0,-0.049,0.05,0.07000714249274856,3.9999999999999716,0.0,40.0,0.11,0.25,63.63636363636363
9.44,163.8,15.47,0.0,-0.049,0.05,0.07000714249274856,7.900000000000006,0.0,32.00000000000023,0.11,0.24,63.63636363636363
9.51,162.3,15.08,0.0,-0.049,0.049,0.06929646455628166,3.9000000000000057,0.0,29.999999999999773,0.11,0.23500000000000001,63.63636363636363
9.62,160.8,15.08,0.0,-0.05,0.049,0.07000714249274856,0.0,0.0,25.0,0.11,0.22,63.63636363636363
